experiment,method,N,selected_real_utility,selected_semantic_score,selected_physical_feasibility,exact_selected_utility,mc_selected_utility_mean,mc_ci_low,mc_ci_high,exact_law_prediction_error,semantic_real_tail_gap,top_score_tail_real_utility,overall_rank_correlation,tail_rank_correlation,high_N_regret,oracle_minus_method_gap,violation_rate,wrong_object_rate,wrong_target_rate,collision_rate,unreachable_rate,fragile_rate,stability_failure_rate,instruction_satisfaction_proxy,physical_success,calibration_improvement,marginal_value_per_added_candidate,deployment_gate,seed_count,pool_count
rendered_visual_simulator,semantic_plus_physical,4,0.8825472084348832,0.8930312670995916,0.8217746726971629,0.8825472084348832,0.8843125,0.8762926484935764,0.8923323515064235,0.0017652915651167334,-0.10021022836135045,0.9872005208333334,0.8105718418937337,0.1740237158362731,0.029955446116110562,0.029955446116110562,0.17822532730283713,0.014965945663042117,0.0998807180352456,0.17380785214348207,0.1390871961317335,0.06309694035641378,0.10285648538724325,0.8930312670995916,0.8825472084348832,0.36594335969722536,0.14397050342340012,allow_high_n,3,24
rendered_visual_simulator,semantic_plus_physical,8,0.9702882432651201,0.8945877240895451,0.96435192442275,0.9702882432651201,0.9717187500000001,0.9676878283860786,0.9757496716139216,0.0014305067348799883,-0.09599139497008051,0.9978124999999999,0.8105718418937337,-0.005124500385567424,0.011197140889343316,0.011197140889343316,0.03564807557725001,0.006758038478308089,0.04644372119877053,0.035542352510728965,0.02809561635653436,0.012773595977099997,0.021876175138729383,0.8945877240895451,0.9702882432651201,0.5051849706091558,0.08774103483023687,allow_high_n,3,24
rendered_visual_simulator,semantic_plus_physical,16,0.9955154718644375,0.9045811167197794,0.9980515575062167,0.9955154718644375,0.9968993055555556,0.9956507170871569,0.9981478940239543,0.0013838336911181637,-0.08771601705754324,0.9978124999999999,0.8105718418937337,-0.0034366087451763437,0.0030838605727220303,0.0030838605727220303,0.0019484424937833067,0.005834592952133785,0.005947435640813645,0.0019480621220867769,0.0015634017089165488,0.0006851206956500899,0.001304463530852129,0.9045811167197794,0.9955154718644375,0.5426252515760479,0.025227228599317364,allow_high_n,3,24
rendered_visual_simulator,semantic_plus_physical,32,0.997772330965363,0.9130212615842704,0.9999925290073222,0.997772330965363,0.9981041666666667,0.9970757299713151,0.9991326033620183,0.00033183570130368434,-0.08204754756489008,0.9965,0.8105718418937337,0.014731391274719738,0.0022137871608912674,0.0022137871608912674,7.4709926778704235e-06,0.005263489875057727,7.963126478493337e-05,7.470991375381531e-06,6.17799067432465e-06,2.8652976059250663e-06,5.506357575687668e-06,0.9130212615842704,0.997772330965363,0.5459325022989308,0.0022568591009255456,stop_early,3,24
rendered_visual_simulator,semantic_plus_physical,64,0.9988928545845978,0.9196381437172055,0.99999999999597,0.9988928545845978,0.9997083333333333,0.9993041741659395,1.0001124925007272,0.0008154787487355541,-0.08204754756489008,0.9965,0.8105718418937337,0.014731391274719738,0.0011071449570204672,0.0011071449570204672,4.030037662842184e-12,0.0026360594149940123,2.866032387206366e-09,4.030037662842184e-12,3.79451994672863e-12,2.5920064913647877e-12,3.173856425914186e-12,0.9196381437172055,0.9988928545845978,0.5479119328732683,0.001120523619234759,stop_early,3,24
rendered_visual_simulator,semantic_plus_physical,128,1.0,0.9257972031513825,1.0,1.0,1.0,1.0,1.0,0.0,-0.08204754756489008,0.9965,0.8105718418937337,0.014731391274719738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9257972031513825,1.0,0.5541666666666665,0.0011071454154022442,stop_early,3,24
rendered_visual_simulator,calibrated,1,0.5835872395833334,0.8757523818304457,0.3564453125,0.5835872395833334,0.5818194444444444,0.5695945845405208,0.5940443043483681,0.0017677951388889168,0.29216514224711226,0.5835872395833334,0.9752321501442642,0.9752321501442642,0.0,0.0,0.6435546875,0.22135416666666666,0.1298828125,0.541015625,0.4951171875,0.16373697916666666,0.24576822916666666,0.8757523818304457,0.5835872395833334,0.0,0.0,allow_high_n,3,24
rendered_visual_simulator,calibrated,2,0.7696094518946851,0.8779959165726638,0.5770741059711286,0.7696094518946851,0.7646423611111112,0.7548684827456167,0.7744162394766057,0.004967090783573935,-0.014666630450345691,0.8764518229166667,0.9752321501442642,0.8841764220256172,0.0013513215633201847,0.0013513215633201847,0.4229258940288714,0.04961757709973754,0.15269233923884515,0.3822793635170603,0.25196850393700787,0.12833979248687666,0.18423197588582677,0.8779959165726638,0.7696094518946851,0.19778571501804465,0.18602221231135174,allow_high_n,3,24
rendered_visual_simulator,calibrated,4,0.9113600047259718,0.8695221058648954,0.8143465543369578,0.9113600047259718,0.9123333333333333,0.9063619303938002,0.9183047362728665,0.0009733286073615455,-0.1175497509690498,0.9925911458333333,0.9752321501442642,0.16448301246865216,0.0011426498250219908,0.0011426498250219908,0.1856534456630421,0.0025392997750281216,0.1339016958817648,0.1735155644606924,0.06472915104361955,0.056337321116110485,0.07403130858642669,0.8695221058648954,0.9113600047259718,0.39475615598831393,0.14175055283128668,allow_high_n,3,24
rendered_visual_simulator,calibrated,8,0.9808074189445266,0.8697693659068566,0.9614284248970325,0.9808074189445266,0.9796354166666666,0.9769936906531749,0.9822771426801584,0.0011720022778599626,-0.12587164061566372,0.9997395833333332,0.9752321501442642,-0.03053243371652632,0.0006779652099367928,0.0006779652099367928,0.03857157510296743,9.163407844286938e-06,0.05599884961686691,0.03603908554103158,0.00418829561207926,0.009833661047006906,0.01199027268159456,0.8697693659068566,0.9808074189445266,0.5157041462885623,0.06944741421855483,allow_high_n,3,24
rendered_visual_simulator,calibrated,16,0.9980793040834034,0.8691729326263733,0.9977029383266661,0.9980793040834034,0.9985277777777779,0.998004341099058,0.9990512144564978,0.0004484736943745071,-0.132711205485179,0.9994791666666667,0.9752321501442642,-0.03586765099777276,0.0005200283537560857,0.0005200283537560857,0.0022970616733337876,5.277899371424442e-10,0.006180746453801628,0.0021704745339852292,1.6190566212282995e-05,0.0003397369811238889,0.000402743193859755,0.8691729326263733,0.9980793040834034,0.5451890837950137,0.017271885138876786,allow_high_n,3,24
